Library_code;Host_taxon;Habitat;Collection_code;No_extracts
PV066;Carduus bourgeanus;Wasteland;E1F;8
PV068;Leontodon sp;Wasteland;E1F;8
PV069;Plantago sp;Wasteland;E1F;11
PV070;Descurainia sophia;Wasteland;E1F;6
PV071;Salvia verbenaca;Wasteland;E1F;10
PV072;Taraxacum officinale;Wasteland;E1F;8
PV074;Leontodon sp;Wasteland;E2F;11
PV075;Taraxacum officinale;Wasteland;E2F;6
PV076;Verbascum sinuatum;Wasteland;E2F;11
PV078;Bromus sp;Wasteland;E4F;8
PV079;Convolvulus arvensis;Wasteland;E4F;8
PV080;Odontites luteus;Oak;Q4F;6
PV081;Lithospermum arvense;Edge;L3V;1
PV082;Marrubium vulgare;Oak;Q1F;14
PV083;Teucrium pseudochamaepitys;Oak;Q1P;11
PV084;Teucrium capitatum;Oak;Q1P;10
PV085;Avena sterilis;Wasteland;E4P;27
PV086;Verbascum sinuatum;Wasteland;E4P;19
PV087;Echium vulgare;Wasteland;E4P;7
PV088;Andryala arenaria;Oak;Q1P;9
PV089;Marrubium vulgare;Oak;Q1P;9
PV090;Dactylis glomerata;Oak;Q4P;13
PV091;Galium verum;Oak;Q4P;8
PV092;Anchusa undulata;Wasteland;E1F;8
PV093;Jasminum fruticans;Oak;Q1P;8
PV094;Hypericum pubescens;Oak;Q1P;6
PV095;Diplotaxis virgata;Oak;Q1P;5
PV096;Milium vernale;Edge;L2V;7
PV097;Convolvulus arvensis;Edge;L2V;5
PV098;Picris echioides;Wasteland;E2F;11
PV099;Anchusa undulata;Wasteland;E2F;13
PV100;Aphyllanthes monspeliensis;Oak;Q4P;10
PV101;Asparagus acutifolius;Oak;Q2P;8
PV102;Asphodelus aestivus;Oak;Q2P;9
PV103;Centaurea melitensis;Oak;Q2P;7
PV104;Dactylis glomerata;Oak;Q2P;8
PV105;Galium verum;Oak;Q2P;5
PV106;Helichrysum stoechas;Oak;Q2P;5
PV107;Quercus coccifera;Oak;Q2P;4
PV108;Quercus ilex;Oak;Q2P;14
PV109;Reseda lutea;Oak;Q2P;1
PV110;Teucrium botrys;Oak;Q2P;7
PV111;Teucrium pseudochamaepitys;Oak;Q2P;1
PV112;Centranthus calcitrapae;Oak;Q2P;8
PV113;Carduus bourgeanus;Oak;Q2P;4
PV114;Staehelina dubia;Oak;Q2P;7
PV115;Bromus sp;Edge;L1P;3
PV116;Daucus sp;Edge;L1P;3
PV117;Diplotaxis erucoides;Edge;L1P;4
PV118;Poaceae;Edge;L1P;5
PV119;Lactuca serriola;Edge;L1P;2
PV120;Leontodon sp;Edge;L1P;1
PV121;Lepidium draba;Edge;L1P;3
PV122;Picris echioides;Edge;L1P;2
PV123;Rumex pulcher;Edge;L1P;4
PV124;Malva sylvestris;Edge;L1P;3
PV125;Senecio jacobaea;Edge;L1P;5
PV126;Silybum marianum;Edge;L1P;2
PV127;Torilis nodosa;Edge;L1P;6
PV128;Vicia sp;Edge;L1P;2
PV129;Bromus sp;Edge;L2P;3
PV130;Carduus bourgeanus;Edge;L2P;3
PV131;Chenopodium album;Edge;L2P;4
PV132;Convolvulus arvensis;Edge;L2P;2
PV133;Diplotaxis sp;Edge;L2P;6
PV134;Descurainia sophia;Edge;L2P;2
PV135;Fumaria parviflora;Edge;L2P;4
PV136;Lactuca serriola;Edge;L2P;1
PV137;Lolium perenne;Edge;L2P;3
PV138;Potentilla sp;Edge;L2P;2
PV139;Rubia peregrina;Edge;L2P;2
PV140;Silybum marianum;Edge;L2P;3
PV141;Bromus sp;Edge;L3P;2
PV142;Convolvulus arvensis;Edge;L3P;6
PV143;Diplotaxis erucoides;Edge;L3P;13
PV144;Fumaria parviflora;Edge;L3P;9
PV145;Lepidium draba;Edge;L3P;1
PV146;Malva sylvestris;Edge;L3P;1
PV147;Papaver rhoeas;Edge;L3P;1
PV148;Scandix pecten veneris;Edge;L3P;1
PV149;Silybum marianum;Edge;L3P;2
PV150;Anthriscus caucalis;Edge;L4P;7
PV151;Aristolochia pistolochia;Edge;L4P;3
PV152;Brachypodium phoenicoides;Edge;L4P;10
PV153;Carduus bourgeanus;Edge;L4P;6
PV154;Convolvulus arvensis;Edge;L4P;5
PV155;Fumaria parviflora;Edge;L4P;1
PV156;Hirschfeldia incana;Edge;L4P;1
PV157;Lepidium draba;Edge;L4P;9
PV158;Rubia peregrina;Edge;L4P;1
PV159;Carduus bourgeanus;Edge;L1V;2
PV160;Chenopodium album;Edge;L1V;2
PV161;Convolvulus arvensis;Edge;L1V;4
PV162;Conyza canadensis;Edge;L1V;2
PV163;Lolium perenne;Edge;L1V;3
PV164;Sonchus oleraceus;Edge;L1V;2
PV165;Anchusa undulata;Edge;L2V;5
PV166;Carduus bourgeanus;Edge;L2V;1
PV167;Chenopodium album;Edge;L2V;2
PV168;Conyza canadensis;Edge;L2V;2
PV169;Galium verum;Edge;L2V;1
PV170;Lactuca serriola;Edge;L2V;2
PV171;Lolium perenne;Edge;L2V;2
PV172;Picris echioides;Edge;L2V;2
PV173;Rubia peregrina;Edge;L2V;3
PV174;Silybum marianum;Edge;L2V;1
PV175;Amaranthus sp;Edge;L3V;2
PV176;Anacyclus clavatus;Edge;L3V;2
PV177;Bassia scoparia;Edge;L3V;2
PV178;Chenopodium album;Edge;L3V;6
PV179;Conyza canadensis;Edge;L3V;1
PV180;Cynodon dactylon;Edge;L3V;2
PV181;Diplotaxis erucoides;Edge;L3V;2
PV182;Lactuca serriola;Edge;L3V;10
PV183;Picris echioides;Edge;L3V;1
PV184;Silybum marianum;Edge;L3V;2
PV185;Solanum nigrum;Edge;L3V;2
PV186;Sonchus oleraceus;Edge;L3V;1
PV187;Brachypodium phoenicoides;Edge;L2V;2
PV188;Convolvulus arvensis;Edge;L3V;6
PV189;Geranium sp;Edge;L1P;1
PV190;Rubia peregrina;Edge;L1P;1
PV191;Allium sativum;Edge;L2P;1
PV192;Anchusa undulata;Edge;L2P;1
PV193;Galium verum;Edge;L2P;1
PV194;Papaver rhoeas;Edge;L2P;1
PV195;Picris echioides;Edge;L2P;1
PV196;Amaranthus sp;Edge;L1F;2
PV197;Anthriscus caucalis;Edge;L1F;2
PV198;Brachypodium retusum;Edge;L1F;2
PV199;Carduus bourgeanus;Edge;L1F;2
PV200;Chenopodium album;Edge;L1F;2
PV201;Convolvulus arvensis;Edge;L1F;8
PV202;Conyza bonariensis;Edge;L1F;6
PV203;Cynodon dactylon;Edge;L1F;4
PV204;Diplotaxis erucoides;Edge;L1F;3
PV205;Geranium sp;Edge;L1F;1
PV206;Lactuca serriola;Edge;L1F;2
PV207;Picris echioides;Edge;L1F;8
PV208;Rubia peregrina;Edge;L1F;2
PV209;Rumex pulcher;Edge;L1F;4
PV210;Cynodon dactylon;Edge;L2F;2
PV211;Solanum nigrum;Edge;L2F;1
PV212;Amaranthus sp;Edge;L3F;5
PV213;Carduus bourgeanus;Edge;L3F;2
PV214;Convolvulus arvensis;Edge;L3F;10
PV215;Conyza bonariensis;Edge;L3F;3
PV216;Cynodon dactylon;Edge;L3F;7
PV217;Datura stramonium;Edge;L3F;1
PV218;Daucus sp;Edge;L3F;3
PV219;Diplotaxis erucoides;Edge;L3F;8
PV220;Eruca vesicaria;Edge;L3F;3
PV221;Lactuca serriola;Edge;L3F;2
PV222;Malva sylvestris;Edge;L1F;2
PV223;Silybum marianum;Edge;L3F;4
PV224;Vicia sp;Edge;L3F;1
PV225;Cirsium arvense;Edge;L4F;4
PV226;Convolvulus arvensis;Edge;L4F;1
PV227;Daucus sp;Edge;L4F;4
PV228;Desconocida 4;Edge;L4F;1
PV229;Diplotaxis erucoides;Edge;L4F;2
PV230;Echium vulgare;Edge;L4F;1
PV231;Lepidium draba;Edge;L4F;6
PV232;Lolium perenne;Edge;L4F;1
PV233;Phalaris minor;Edge;L4F;2
PV234;Rumex pulcher;Edge;L4F;2
PV235;Silybum marianum;Edge;L4F;3
PV236;Trifolium campestre;Edge;L4F;1
PV237;Erodium cicutarium;Edge;L4F;2
PV252;Rubia peregrina;Wasteland;E2F;1
PV257;Desconocida 5;Wasteland;E3F;9
PV262;Galium verum;Wasteland;E3F;9
PV268;Sisymbrium runcinatum;Wasteland;E3F;1
PV269;Teucrium chamaedrys;Wasteland;E3F;3
PV270;Asparagus acutifolius;Wasteland;E4F;1
PV277;Anacyclus clavatus;Wasteland;E1P;5
PV296;Stipa parviflora;Wasteland;E1P;6
PV298;Teucrium capitatum;Wasteland;E1P;15
PV306;Asteriscus aquaticus;Wasteland;E2P;3
PV312;Centaurea melitensis;Wasteland;E2P;7
PV313;Centranthus calcitrapae;Wasteland;E2P;1
PV330;Phlomis lychnitis;Wasteland;E2P;1
PV350;Erodium cicutarium;Wasteland;E3P;3
PV352;Eryngium campestre;Wasteland;E3P;7
PV356;Hordeum matritense;Wasteland;E3P;13
PV359;Medicago sp;Wasteland;E3P;6
PV369;Teucrium pseudochamaepitys;Wasteland;E3P;3
PV380;Dactylis glomerata;Wasteland;E4P;6
PV386;Papaver rhoeas;Wasteland;E4P;7
PV390;Thapsia villosa;Wasteland;E4P;4
PV418;Aristolochia pistolochia;Oak;Q1P;1
PV421;Asteriscus aquaticus;Oak;Q1P;4
PV423;Bromus sp;Oak;Q1P;6
PV426;Erodium cicutarium;Oak;Q1P;3
PV428;Hordeum matritense;Oak;Q1P;2
PV430;Papaver rhoeas;Oak;Q1P;1
PV437;Geranium sp;Oak;Q2P;11
PV440;Thapsia villosa;Oak;Q2P;3
PV441;Leontodon sp;Oak;Q2P;5
PV454;Klasea pinnatifida;Oak;Q3P;11
PV457;Medicago sp;Oak;Q3P;1
PV464;Rubia peregrina;Oak;Q3P;5
PV473;Eryngium campestre;Oak;Q4P;3
PV489;Hordeum vulgare;Crop;H2P;40
PV491;Hordeum vulgare;Crop;H2P;1
PV495;Anacyclus clavatus;Crop;H2P;4
PV496;Convolvulus arvensis;Crop;H2P;3
PV498;Rubia peregrina;Crop;H3P;9
PV500;Desconocida 5;Crop;H3P;4
PV501;Bromus sp;Crop;H3P;1
PV503;Hordeum vulgare;Crop;H3P;24
PV505;Hordeum vulgare;Crop;H3P;1
PV514;Diplotaxis erucoides;Crop;M3V;3
PV516;Picris echioides;Crop;M3V;1
PV519;Desconocida 4;Crop;M4V;4
PV525;Diplotaxis erucoides;Crop;Z1V;1
PV526;Phalaris minor;Crop;Z1V;1
PV527;Convolvulus arvensis;Crop;Z2V;4
PV529;Picris echioides;Crop;Z2V;1
PV534;Diplotaxis erucoides;Crop;C1F;3
PV535;Brassica oleracea;Crop;C1F;17
PV538;Brassica oleracea;Crop;C1F;8
PV540;Picris echioides;Crop;C1F;1
PV544;Sisymbrium runcinatum;Crop;C1F;4
PV546;Klasea pinnatifida;Crop;C2F;1
PV551;Diplotaxis erucoides;Crop;C2F;1
PV553;Rumex pulcher;Crop;C2F;1
PV554;Brassica oleracea;Crop;C2F;17
PV556;Brassica oleracea;Crop;C2F;3
PV557;Erodium cicutarium;Crop;C2F;1
PV558;Phlomis lychnitis;Oak;Q2P;1
PV559;Stipa parviflora;Oak;Q1P;1
PV560;Teucrium chamaedrys;Oak;Q2P;1
PV561;Dittrichia viscosa;Wasteland;E2F_E2P;8
PV562;Foeniculum vulgare;Wasteland;E3F_E3P;8
PV563;Foeniculum vulgare;Wasteland;E2P;6
PV564;Phlomis purpurea;Wasteland;E2P;8
PV565;Phlomis purpurea;Wasteland;E3P;4
PV566;Retama sphaerocarpa;Wasteland;E2F_E2P;7
PV567;Rumex pulcher;Wasteland;E2P;4
PV568;Rumex pulcher;Wasteland;E3F_E3P;5
PV569;Silybum marianum;Wasteland;E2F_E2P;8
PV570;Crataegus monogyna;Oak;Q3F_Q3P_Q4P;3
PV571;Bupleurum rigidum;Oak;Q3F_Q3P;8
PV572;Trifolium tomentosum;Wasteland;E1P;3
PV573;Trifolium tomentosum;Wasteland;E2P;4
PV574;Helianthemum cinereum;Oak;Q3P;8
PV575;Lavandula latifolia;Oak;Q3F;3
PV576;Lavandula latifolia;Oak;Q4F;3
PV577;Lithodora fruticosa;Oak;Q3F_Q3P;3
PV578;Origanum vulgare;Oak;Q1P_Q2P_Q3P;4
PV579;Rhamnus lycioides;Oak;Q1F;8
PV580;Rhamnus lycioides;Oak;Q2F;5
PV581;Rhamnus lycioides;Oak;Q2P;5
PV582;Rhamnus lycioides;Oak;Q3F_Q3P;6
PV583;Astragalus sesameus;Wasteland;E1P;6
PV584;Astragalus sesameus;Wasteland;E3P;5
PV585;Borago officinalis;Wasteland;E2P;6
PV586;Fumaria parviflora;Crop;H1P;8
PV587;Hirschfeldia incana;Crop;H1P;8
PV588;Hordeum vulgare;Crop;H1P;8
PV589;Hordeum vulgare;Crop;H1P;8
PV590;Zea mays;Crop;Z1V;11
;;;;
